hsa	Homo sapiens (human)
pae	Pseudomonas aeruginosa PAO1
paev	Pseudomonas aeruginosa PAO1-VE13
paei	Pseudomonas aeruginosa PAO1-VE2
pau	Pseudomonas aeruginosa UCBPP-PA14
pap	Pseudomonas aeruginosa PA7
pag	Pseudomonas aeruginosa LESB58
paf	Pseudomonas aeruginosa M18
pnc	Pseudomonas aeruginosa NCGM2.S1
pdk	Pseudomonas aeruginosa DK2
psg	Pseudomonas aeruginosa B136-33
prp	Pseudomonas aeruginosa RP73
paep	Pseudomonas aeruginosa PA1
paer	Pseudomonas aeruginosa PA1R
paem	Pseudomonas aeruginosa MTB-1
pael	Pseudomonas aeruginosa LES431
paes	Pseudomonas aeruginosa SCV20265
paeu	Pseudomonas aeruginosa PA38182
paeg	Pseudomonas aeruginosa YL84
paec	Pseudomonas aeruginosa c7447m
paeo	Pseudomonas aeruginosa PAO581
ppu	Pseudomonas putida KT2440
ppf	Pseudomonas putida F1
ppg	Pseudomonas putida GB-1
ppw	Pseudomonas putida W619
ppt	Pseudomonas putida S16
ppb	Pseudomonas putida BIRD-1
ppi	Pseudomonas putida ND6
ppx	Pseudomonas putida DOT-T1E
ppuh	Pseudomonas putida HB3267
pput	Pseudomonas putida H8234
ppun	Pseudomonas putida NBRC 14164
pmos	Pseudomonas mosselii
ppuu	Pseudomonas sp. UW4
pst	Pseudomonas syringae pv. tomato DC3000
psb	Pseudomonas syringae pv. syringae B728a
psyr	Pseudomonas syringae CC1557
psp	Pseudomonas syringae pv. phaseolicola 1448A
pci	Pseudomonas cichorii
pfl	Pseudomonas protegens Pf-5
pprc	Pseudomonas protegens CHA0
pfo	Pseudomonas fluorescens Pf0-1
pfs	Pseudomonas fluorescens SBW25
pfe	Pseudomonas fluorescens F113
pfc	Pseudomonas fluorescens A506
pfn	Pseudomonas fluorescens UK4
ppz	Pseudomonas poae
pen	Pseudomonas entomophila
pmy	Pseudomonas mendocina ymp
pmk	Pseudomonas mendocina NK-01
psa	Pseudomonas stutzeri A1501
psz	Pseudomonas stutzeri ATCC 17588
psr	Pseudomonas stutzeri DSM 4166
psc	Pseudomonas stutzeri CCUG 29243
psj	Pseudomonas stutzeri DSM 10701
psh	Pseudomonas stutzeri RCH2
pstu	Pseudomonas stutzeri 19SMN4
pba	Pseudomonas brassicacearum subsp. brassicacearum NFM421
pbc	Pseudomonas brassicacearum DF41
pfv	Pseudomonas fulva
pdr	Pseudomonas denitrificans
pre	Pseudomonas resinovorans
psv	Pseudomonas sp. VLB120
psk	Pseudomonas sp. TKP
pmon	Pseudomonas monteilii SB3078
pmot	Pseudomonas monteilii SB3101
pkc	Pseudomonas knackmussii
pch	Pseudomonas chlororaphis PA23
pcp	Pseudomonas chlororaphis subsp. aurantiaca
palk	Pseudomonas alkylphenolia
prh	Pseudomonas rhizosphaerae
psw	Pseudomonas sp. ND07
cja	Cellvibrio japonicus
avn	Azotobacter vinelandii DJ
avl	Azotobacter vinelandii CA
avd	Azotobacter vinelandii CA6
par	Psychrobacter arcticus
pcr	Psychrobacter cryohalolentis
prw	Psychrobacter sp. PRwf-1
pso	Psychrobacter sp. G
aci	Acinetobacter sp. ADP1
acd	Acinetobacter oleivorans
acb	Acinetobacter baumannii ATCC 17978
abm	Acinetobacter baumannii SDF
aby	Acinetobacter baumannii AYE
abc	Acinetobacter baumannii ACICU
abn	Acinetobacter baumannii AB0057
abb	Acinetobacter baumannii AB307-0294
abx	Acinetobacter baumannii 1656-2
abz	Acinetobacter baumannii MDR-ZJ06
abr	Acinetobacter baumannii MDR-TJ
abd	Acinetobacter baumannii TCDC-AB0715
abh	Acinetobacter baumannii TYTH-1
abad	Acinetobacter baumannii D1279779
abj	Acinetobacter baumannii BJAB07104
abab	Acinetobacter baumannii BJAB0715
abaj	Acinetobacter baumannii BJAB0868
abaz	Acinetobacter baumannii ZW85-1
abk	Acinetobacter baumannii AbH12O-A2
abau	Acinetobacter baumannii AB030
abaa	Acinetobacter baumannii AB031
abw	Acinetobacter baumannii AC29
acc	Acinetobacter calcoaceticus
mct	Moraxella catarrhalis RH4
mcs	Moraxella catarrhalis 25240
mcat	Moraxella catarrhalis 25239
son	Shewanella oneidensis
sdn	Shewanella denitrificans
sfr	Shewanella frigidimarina
saz	Shewanella amazonensis
sbl	Shewanella baltica OS155
sbm	Shewanella baltica OS185
sbn	Shewanella baltica OS195
sbp	Shewanella baltica OS223
sbt	Shewanella baltica OS678
sbs	Shewanella baltica OS117
sbb	Shewanella baltica BA175
slo	Shewanella loihica
spc	Shewanella putrefaciens CN-32
shp	Shewanella putrefaciens 200
sse	Shewanella sediminis
spl	Shewanella pealeana
she	Shewanella sp. MR-4
shm	Shewanella sp. MR-7
shn	Shewanella sp. ANA-3
shw	Shewanella sp. W3-18-1
shl	Shewanella halifaxensis
swd	Shewanella woodyi
swp	Shewanella piezotolerans
svo	Shewanella violacea
ilo	Idiomarina loihiensis L2TR
ili	Idiomarina loihiensis GSL 199
cps	Colwellia psychrerythraea
pha	Pseudoalteromonas haloplanktis
pat	Pseudoalteromonas atlantica
psm	Pseudoalteromonas sp. SM9913
sde	Saccharophagus degradans
maq	Marinobacter hydrocarbonoclasticus VT8
mhc	Marinobacter hydrocarbonoclasticus ATCC 49840
mad	Marinobacter adhaerens
mbs	Marinobacter sp. BSs20148
amc	Alteromonas macleodii Deep ecotype
amac	Alteromonas macleodii ATCC 27126
amb	Alteromonas macleodii Balearic Sea AD45
amg	Alteromonas macleodii English Channel 673
amh	Alteromonas macleodii English Channel 615
amk	Alteromonas macleodii Black Sea 11
amaa	Alteromonas macleodii AltDE1
amal	Alteromonas macleodii Ionian Sea U4
amae	Alteromonas macleodii Ionian Sea U7
amao	Alteromonas macleodii Ionian Sea U8
amad	Alteromonas macleodii Ionian Sea UM4b
amai	Alteromonas macleodii Ionian Sea UM7
amag	Alteromonas macleodii Aegean Sea MED64
alt	Alteromonas sp. SN2
aal	Alteromonas australica
gag	Glaciecola sp. 4H-3-7+YE-5
gni	Glaciecola nitratireducens
gps	Glaciecola psychrophila
pin	Psychromonas ingrahamii
psy	Psychromonas sp. CNPT3
ttu	Teredinibacter turnerae
fbl	Ferrimonas balearica
cbu	Coxiella burnetii RSA 493
cbs	Coxiella burnetii RSA 331
cbd	Coxiella burnetii Dugway 5J108-111
cbg	Coxiella burnetii CbuG_Q212
cbc	Coxiella burnetii CbuK_Q154
lpn	Legionella pneumophila subsp. pneumophila Philadelphia 1
lph	Legionella pneumophila subsp. pneumophila HL06041035
lpo	Legionella pneumophila subsp. pneumophila Lorraine
lpu	Legionella pneumophila subsp. pneumophila LPE509
lpm	Legionella pneumophila subsp. pneumophila Thunder Bay
lpf	Legionella pneumophila Lens
lpp	Legionella pneumophila Paris
lpc	Legionella pneumophila Corby
lpa	Legionella pneumophila 2300/99 Alcoy
lpe	Legionella pneumophila subsp. pneumophila ATCC 43290
llo	Legionella longbeachae
mca	Methylococcus capsulatus
mmt	Methylomonas methanica
mah	Methylomicrobium alcaliphilum
ftu	Francisella tularensis subsp. tularensis SCHU S4
ftf	Francisella tularensis subsp. tularensis FSC198
ftw	Francisella tularensis subsp. tularensis WY96-3418
ftr	Francisella tularensis subsp. tularensis NE061598
ftt	Francisella tularensis subsp. tularensis TI0902
ftg	Francisella tularensis TIGB03
ftl	Francisella tularensis subsp. holarctica LVS
fth	Francisella tularensis subsp. holarctica OSU18
fta	Francisella tularensis subsp. holarctica FTNF002-00
fts	Francisella tularensis subsp. holarctica F92
fti	Francisella tularensis subsp. holarctica FSC200
fto	Francisella tularensis subsp. holarctica PHIT-FT049
ftm	Francisella tularensis subsp. mediasiatica FSC147
ftn	Francisella tularensis subsp. novicida
fcf	Francisella cf. novicida Fx1
fcn	Francisella cf. novicida 3523
fph	Francisella philomiragia
frt	Francisella sp. TX077308
fna	Francisella noatunensis subsp. orientalis Toba 04
fnl	Francisella noatunensis subsp. orientalis LADL--07-285A
tcx	Thiomicrospira crunogena
tcy	Thioalkalimicrobium cyclicum
mej	Methylophaga nitratireducenticrescens
mec	Methylophaga frappieri
cyq	Cycloclasticus sp. P1
cza	Cycloclasticus zancles
noc	Nitrosococcus oceani
nhl	Nitrosococcus halophilus
nwa	Nitrosococcus watsonii
alv	Allochromatium vinosum
tvi	Thiocystis violascens
tmb	Thioflavicoccus mobilis
aeh	Alkalilimnicola ehrlichii
hha	Halorhodospira halophila
hhc	Halorhodospira halochloris
tgr	Thioalkalivibrio sulfidiphilus
tkm	Thioalkalivibrio sp. K90mix
tni	Thioalkalivibrio nitratireducens
ssal	Spiribacter salinus
spiu	Spiribacter sp. UAH-SP71
hna	Halothiobacillus neapolitanus
hch	Hahella chejuensis
csa	Chromohalobacter salexigens
hel	Halomonas elongata
hcs	Halomonas campaniensis
ple	Candidatus Portiera aleyrodidarum BT-B
ply	Candidatus Portiera aleyrodidarum BT-B-HRs
plr	Candidatus Portiera aleyrodidarum BT-QVLC
plo	Candidatus Portiera aleyrodidarum BT-QVLC
pld	Candidatus Portiera aleyrodidarum TV
crp	Candidatus Carsonella ruddii PV (Pachypsylla venusta)
cru	Candidatus Carsonella ruddii CE (Ctenarytaina eucalypti)
crc	Candidatus Carsonella ruddii CS (Ctenarytaina spatulata)
crt	Candidatus Carsonella ruddii HT (Heteropsylla texana)
crh	Candidatus Carsonella ruddii HC (Heteropsylla cubana)
crv	Candidatus Carsonella ruddii PC (Pachypsylla celtidis)
cri	Candidatus Carsonella ruddii DC (Diaphorina citri)
abo	Alcanivorax borkumensis
adi	Alcanivorax dieselolei
kko	Kangiella koreensis
mmw	Marinomonas sp. MWYL1
mme	Marinomonas mediterranea
mpc	Marinomonas posidonica
tol	Thalassolituus oleivorans MIL-1
tor	Thalassolituus oleivorans R6-15
aha	Aeromonas hydrophila subsp. hydrophila ATCC 7966
ahy	Aeromonas hydrophila ML09-119
ahd	Aeromonas hydrophila YL17
ahr	Aeromonas hydrophila AL09-71
ahp	Aeromonas hydrophila pc104A
asa	Aeromonas salmonicida
avr	Aeromonas veronii
amed	Aeromonas media
tau	Tolumonas auensis
oce	Oceanimonas sp. GK1
dno	Dichelobacter nodosus
afe	Acidithiobacillus ferrooxidans ATCC 53993
afr	Acidithiobacillus ferrooxidans ATCC 23270
acu	Acidithiobacillus caldus
afi	Acidithiobacillus ferrivorans
gap	Gilliamella apicola
saga	Simiduia agarivorans
bci	Baumannia cicadellinicola Hc (Homalodisca coagulata)
bcib	Candidatus Baumannia cicadellinicola BGSS
rma	Candidatus Ruthia magnifica (Calyptogena magnifica)
vok	Candidatus Vesicomyosocius okutanii (Calyptogena okutanii)
gpb	Gamma proteobacterium HdN1
nma	Neisseria meningitidis Z2491 (serogroup A)
nme	Neisseria meningitidis MC58 (serogroup B)
nmp	Neisseria meningitidis alpha710 (serogroup B)
nmh	Neisseria meningitidis H44/76 (serogroup B)
nmc	Neisseria meningitidis FAM18 (serogroup C)
nmn	Neisseria meningitidis 053442 (serogroup C)
nmt	Neisseria meningitidis 8013 (serogroup C)
nmi	Neisseria meningitidis alpha14 (cnl strain)
nmd	Neisseria meningitidis G2136 (serogroup B)
nmm	Neisseria meningitidis M01-240149 (serogroup B)
nms	Neisseria meningitidis M01-240355 (serogroup B)
nmq	Neisseria meningitidis M04-240196 (serogroup B)
nmw	Neisseria meningitidis WUE 2594 (serogroup A)
nmz	Neisseria meningitidis NZ-05/33 (serogroup B)
ngo	Neisseria gonorrhoeae FA 1090
ngk	Neisseria gonorrhoeae NCCP11945
ngt	Neisseria gonorrhoeae TCDC-NG08107
nla	Neisseria lactamica
salv	Snodgrassella alvi
cvi	Chromobacterium violaceum
lhk	Laribacter hongkongensis
pse	Pseudogulbenkiania sp. NH8B
rso	Ralstonia solanacearum GMI1000
rsc	Ralstonia solanacearum CFBP2957
rsl	Ralstonia solanacearum PSI07
rsn	Ralstonia solanacearum Po82
rsm	Ralstonia solanacearum CMR15
rse	Ralstonia solanacearum FQY_4
rpi	Ralstonia pickettii 12J
rpf	Ralstonia pickettii 12D
rpj	Ralstonia pickettii DTP0602
reu	Ralstonia eutropha JMP134
reh	Ralstonia eutropha H16
cnc	Cupriavidus necator N-1
rme	Cupriavidus metallidurans
cti	Cupriavidus taiwanensis
bma	Burkholderia mallei ATCC 23344
bmv	Burkholderia mallei SAVP1
bml	Burkholderia mallei NCTC 10229
bmn	Burkholderia mallei NCTC 10247
bmal	Burkholderia mallei 23344
bps	Burkholderia pseudomallei K96243
bpm	Burkholderia pseudomallei 1710b
bpl	Burkholderia pseudomallei 1106a
bpd	Burkholderia pseudomallei 668
bpr	Burkholderia pseudomallei MSHR346
bpse	Burkholderia pseudomallei MSHR305
bpsm	Burkholderia pseudomallei MSHR511
bpsu	Burkholderia pseudomallei MSHR146
bpsd	Burkholderia pseudomallei MSHR520
bpz	Burkholderia pseudomallei 1026b
bpq	Burkholderia pseudomallei BPC006
bpk	Burkholderia pseudomallei NCTC 13179
bte	Burkholderia thailandensis E264
btq	Burkholderia thailandensis 2002721723
btj	Burkholderia thailandensis E444
btz	Burkholderia thailandensis H0587
btd	Burkholderia thailandensis MSMB121
bthe	Burkholderia thailandensis E254
bok	Burkholderia oklahomensis
bvi	Burkholderia vietnamiensis
bur	Burkholderia lata
bcn	Burkholderia cenocepacia AU1054
bch	Burkholderia cenocepacia HI2424
bcm	Burkholderia cenocepacia MC0-3
bcj	Burkholderia cenocepacia J2315
bcen	Burkholderia cenocepacia DDS 22E-1
bam	Burkholderia ambifaria AMMD
bac	Burkholderia ambifaria MC40-6
bmu	Burkholderia multivorans ATCC 17616 (JGI)
bmj	Burkholderia multivorans ATCC 17616 (Tohoku)
bmk	Burkholderia multivorans DDS 15A-1
bct	Burkholderia cepacia GG4
bced	Burkholderia cepacia DDS 7H-2
bxe	Burkholderia xenovorans LB400
bxb	Burkholderia xenovorans BXA
bph	Burkholderia phymatum
bpy	Burkholderia phytofirmans
bgl	Burkholderia glumae
bug	Burkholderia sp. CCGE1001
bge	Burkholderia sp. CCGE1002
bgf	Burkholderia sp. CCGE1003
brh	Burkholderia rhizoxinica
bgd	Burkholderia gladioli
byi	Burkholderia sp. YI23
buk	Burkholderia sp. KJ006
bpx	Burkholderia phenoliruptrix
buo	Burkholderia sp. RPE64
pnu	Polynucleobacter necessarius subsp. asymbioticus
pne	Polynucleobacter necessarius subsp. necessarius
ppk	Pandoraea pnomenusa 3kgm
ppno	Pandoraea pnomenusa RB38
prb	Pandoraea sp. RB-44
bpe	Bordetella pertussis Tohama I
bpc	Bordetella pertussis CS
bper	Bordetella pertussis 18323
bpa	Bordetella parapertussis 12822
bpar	Bordetella parapertussis Bpp5
bbr	Bordetella bronchiseptica RB50
bbm	Bordetella bronchiseptica MO149
bbh	Bordetella bronchiseptica 253
bpt	Bordetella petrii
bav	Bordetella avium
bho	Bordetella holmesii ATCC 51541
bhm	Bordetella holmesii 44057
axy	Achromobacter xylosoxidans A8
axo	Achromobacter xylosoxidans NH44784-1996
axn	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061
axs	Achromobacter xylosoxidans C54
teq	Taylorella equigenitalis MCE9
tea	Taylorella equigenitalis ATCC 35865
teg	Taylorella equigenitalis 14/56
tas	Taylorella asinigenitalis MCE3
tat	Taylorella asinigenitalis 14/45
put	Pusillimonas sp. T7-7
aka	Advenella kashmirensis
amim	Advenella mimigardefordensis
cdn	Castellaniella defragrans
bpsi	Basilea psittacipulmonis
rfr	Rhodoferax ferrireducens
pol	Polaromonas sp. JS666
pna	Polaromonas naphthalenivorans
aav	Acidovorax citrulli
ajs	Acidovorax sp. JS42
dia	Acidovorax ebreus
aaa	Acidovorax avenae
ack	Acidovorax sp. KKS102
vei	Verminephrobacter eiseniae
dac	Delftia acidovorans
del	Delftia sp. Cs1-4
vap	Variovorax paradoxus S110
vpe	Variovorax paradoxus EPS
vpd	Variovorax paradoxus B4
ctt	Comamonas testosteroni CNB-2
ctes	Comamonas testosteroni TK102
adn	Alicycliphilus denitrificans BC
adk	Alicycliphilus denitrificans K601
rta	Ramlibacter tataouinensis
cbx	Symbiobacter mobilis
mpt	Methylibium petroleiphilum
har	Herminiimonas arsenicoxydans
mms	Janthinobacterium sp. Marseille
jag	Janthinobacterium agaricidamnosum
hse	Herbaspirillum seropedicae
zin	Candidatus Zinderia insecticola
cfu	Collimonas fungivorans
lch	Leptothrix cholodnii
tin	Thiomonas intermedia
thi	Thiomonas arsenitoxydans
rge	Rubrivivax gelatinosus
neu	Nitrosomonas europaea
net	Nitrosomonas eutropha
nit	Nitrosomonas sp. AL212
nii	Nitrosomonas sp. Is79A3
nmu	Nitrosospira multiformis
eba	Aromatoleum aromaticum
azo	Azoarcus sp. BH72
aza	Azoarcus sp. KH32C
dar	Dechloromonas aromatica
tmz	Thauera sp. MZ1T
dsu	Dechlorosoma suillum
tbd	Thiobacillus denitrificans
sdr	Sulfuricella denitrificans
mfa	Methylobacillus flagellatus
mmb	Methylotenera mobilis
meh	Methylotenera versatilis
mei	Methylovorus glucosetrophus
mep	Methylovorus sp. MP688
app	Accumulibacter phosphatis
tpn	Candidatus Tremblaya princeps PCIT
tpq	Candidatus Tremblaya princeps PCVAL
tpj	Candidatus Tremblaya phenacola
slt	Sideroxydans lithotrophicus
gca	Gallionella capsiferriformans
kci	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)
kct	Candidatus Kinetoplastibacterium crithidii TCC036E
kbl	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)
kbt	Candidatus Kinetoplastibacterium blastocrithidii TCC012E
kde	Candidatus Kinetoplastibacterium desouzaii
kga	Candidatus Kinetoplastibacterium galatii
kon	Candidatus Kinetoplastibacterium oncopeltii
ssdc	Candidatus Profftella armatura
ndl	Candidatus Nasuia deltocephalinicola
bprc	Beta proteobacterium CB
hpy	Helicobacter pylori 26695
heo	Helicobacter pylori 26695
hpj	Helicobacter pylori J99
hpa	Helicobacter pylori HPAG1
hps	Helicobacter pylori Shi470
hhp	Helicobacter pylori Shi112
hhq	Helicobacter pylori Shi169
hhr	Helicobacter pylori Shi417
hpg	Helicobacter pylori G27
hpp	Helicobacter pylori P12
hpb	Helicobacter pylori B38
hpl	Helicobacter pylori B8
hpc	Helicobacter pylori PeCan4
hca	Helicobacter pylori PeCan18
hpm	Helicobacter pylori SJM180
hpe	Helicobacter pylori ELS37
hpo	Helicobacter pylori 35A
hpi	Helicobacter pylori 908
hpq	Helicobacter pylori 2017
hpw	Helicobacter pylori 2018
hpu	Helicobacter pylori Cuz20
hef	Helicobacter pylori F16
hpf	Helicobacter pylori F30
heq	Helicobacter pylori F32
hex	Helicobacter pylori F57
hpt	Helicobacter pylori Sat464
hpz	Helicobacter pylori 52
hpv	Helicobacter pylori v225d
hpx	Helicobacter pylori 83
hen	Helicobacter pylori SNT49
hph	Helicobacter pylori Lithuania75
heg	Helicobacter pylori Gambia94/24
hpn	Helicobacter pylori India7
hep	Helicobacter pylori Puno120
heu	Helicobacter pylori Puno135
hes	Helicobacter pylori SouthAfrica7
hpys	Helicobacter pylori SouthAfrica20
hcn	Helicobacter pylori HUP-B14
hpd	Helicobacter pylori 51
hey	Helicobacter pylori XZ274
her	Helicobacter pylori Rif1
hei	Helicobacter pylori Rif2
hpya	Helicobacter pylori Aklavik117
hpyk	Helicobacter pylori Aklavik86
hpyo	Helicobacter pylori OK113
hpyl	Helicobacter pylori OK310
hpyb	Helicobacter pylori oki102
hpyr	Helicobacter pylori UM032
hpyi	Helicobacter pylori UM037
hpyu	Helicobacter pylori UM066
hpym	Helicobacter pylori UM299
hem	Helicobacter pylori UM298
heb	Helicobacter pylori BM012A
hez	Helicobacter pylori BM012S
hhe	Helicobacter hepaticus
hac	Helicobacter acinonychis
hms	Helicobacter mustelae
hfe	Helicobacter felis
hbi	Helicobacter bizzozeronii
hce	Helicobacter cetorum MIT 00-7128
hcm	Helicobacter cetorum MIT 99-5656
hcp	Helicobacter cinaedi PAGU611
hcb	Helicobacter cinaedi ATCC BAA-847
hhm	Helicobacter heilmannii
wsu	Wolinella succinogenes
tdn	Sulfurimonas denitrificans
sua	Sulfurimonas autotrophica
sku	Sulfuricurvum kujiense
sulr	Uncultured Sulfuricurvum sp. RIFRC-1
cje	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
cjb	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148
cjj	Campylobacter jejuni subsp. jejuni 81-176
cju	Campylobacter jejuni subsp. jejuni 81116
cjn	Campylobacter jejuni subsp. jejuni ICDCCJ07001
cji	Campylobacter jejuni subsp. jejuni IA3902
cjm	Campylobacter jejuni subsp. jejuni M1
cjs	Campylobacter jejuni subsp. jejuni S3
cjp	Campylobacter jejuni subsp. jejuni PT14
cjej	Campylobacter jejuni subsp. jejuni 00-2426
cjeu	Campylobacter jejuni subsp. jejuni 00-2538
cjen	Campylobacter jejuni subsp. jejuni 00-2544
cjei	Campylobacter jejuni subsp. jejuni 00-2425
cjer	Campylobacter jejuni subsp. jejuni R14
cjr	Campylobacter jejuni RM1221
cjd	Campylobacter jejuni subsp. doylei 269.97
cjz	Campylobacter jejuni 32488
cjx	Campylobacter jejuni 4031
cff	Campylobacter fetus subsp. fetus 82-40
cft	Campylobacter fetus subsp. fetus 04/554
cfv	Campylobacter fetus subsp. venerealis cfvi03/293
cfx	Campylobacter fetus subsp. venerealis 97/608
camp	Campylobacter fetus subsp. testudinum 03-427
ccv	Campylobacter curvus
cha	Campylobacter hominis
cco	Campylobacter concisus
cla	Campylobacter lari
ccol	Campylobacter coli 76339
ccc	Campylobacter coli CVM N29710
ccq	Campylobacter coli 15-537360
ccf	Campylobacter coli RM1875
ccy	Campylobacter coli RM4661
ccoi	Campylobacter coli RM5611
caj	Campylobacter sp. 1485E
abu	Arcobacter butzleri RM4018
abt	Arcobacter butzleri ED-1
abl	Arcobacter butzleri 7h1h
ant	Arcobacter nitrofigilis
arc	Arcobacter sp. L
sdl	Sulfurospirillum deleyianum
sba	Sulfurospirillum barnesii
smul	Sulfurospirillum multivorans
nsa	Nitratifractor salsuginis
nis	Nitratiruptor sp. SB155-2
sun	Sulfurovum sp. NBC37-1
nam	Nautilia profundicola
gsu	Geobacter sulfurreducens PCA
gsk	Geobacter sulfurreducens KN400
gme	Geobacter metallireducens
gur	Geobacter uraniireducens
glo	Geobacter lovleyi
gbm	Geobacter bemidjiensis
geo	Geobacter sp. FRC-32
gem	Geobacter sp. M21
geb	Geobacter sp. M18
pca	Pelobacter carbinolicus
ppd	Pelobacter propionicus
dvu	Desulfovibrio vulgaris Hildenborough
dvl	Desulfovibrio vulgaris DP4
dvm	Desulfovibrio vulgaris Miyazaki F
dvg	Desulfovibrio vulgaris RCH1
dde	Desulfovibrio alaskensis
dds	Desulfovibrio desulfuricans ATCC 27774
ddn	Desulfovibrio desulfuricans ND132
dma	Desulfovibrio magneticus
dsa	Desulfovibrio salexigens
das	Desulfovibrio aespoeensis
daf	Desulfovibrio africanus
dhy	Desulfovibrio hydrothermalis
dpi	Desulfovibrio piezophilus
dgg	Desulfovibrio gigas
lip	Lawsonia intracellularis PHE/MN1-00
lir	Lawsonia intracellularis N343
dba	Desulfomicrobium baculatum
drt	Desulfohalobium retbaense
bba	Bdellovibrio bacteriovorus HD100
bbat	Bdellovibrio bacteriovorus Tiberius
bbw	Bdellovibrio bacteriovorus W
bbac	Bdellovibrio bacteriovorus 109J
bex	Bdellovibrio exovorus
bmx	Bacteriovorax marinus
dps	Desulfotalea psychrophila
dak	Desulfurivibrio alkaliphilus
dpr	Desulfobulbus propionicus
dsf	Desulfocapsa sulfexigens
dol	Candidatus Desulfococcus oleovorans
dal	Desulfatibacillum alkenivorans
dat	Desulfobacterium autotrophicum
dto	Desulfobacula toluolica
ade	Anaeromyxobacter dehalogenans 2CP-C
acp	Anaeromyxobacter dehalogenans 2CP-1
afw	Anaeromyxobacter sp. Fw109-5
ank	Anaeromyxobacter sp. K
mxa	Myxococcus xanthus
mfu	Myxococcus fulvus
msd	Myxococcus stipitatus
ccx	Corallococcus coralloides
sur	Stigmatella aurantiaca
scl	Sorangium cellulosum So ce 56
scu	Sorangium cellulosum So0157-2
hoh	Haliangium ochraceum
sat	Syntrophus aciditrophicus
dao	Desulfobacca acetoxidans
dti	Desulfomonile tiedjei
sfu	Syntrophobacter fumaroxidans
dbr	Desulfarculus baarsii
hmr	Hippea maritima
dav	Desulfurella acetivorans
dpb	delta proteobacterium BABL1
rpr	Rickettsia prowazekii Madrid E
rpo	Rickettsia prowazekii BuV67-CWPP
rpw	Rickettsia prowazekii Chernikova
rpz	Rickettsia prowazekii Dachau
rpg	Rickettsia prowazekii GvV257
rps	Rickettsia prowazekii Katsinyian
rpv	Rickettsia prowazekii RpGvF24
rpq	Rickettsia prowazekii Rp22
rpl	Rickettsia prowazekii Breinl
rpn	Rickettsia prowazekii NMRC Madrid E
rty	Rickettsia typhi Wilmington
rtt	Rickettsia typhi TH1527
rtb	Rickettsia typhi B9991CWPP
rcm	Rickettsia canadensis McKiel
rcc	Rickettsia canadensis CA410
rbe	Rickettsia bellii RML369-C
rbo	Rickettsia bellii OSU 85-389
rco	Rickettsia conorii
rfe	Rickettsia felis
rak	Rickettsia akari
rri	Rickettsia rickettsii Sheila Smith
rrj	Rickettsia rickettsii Iowa
rra	Rickettsia rickettsii Arizona
rrc	Rickettsia rickettsii Colombia
rrh	Rickettsia rickettsii Hauke
rrb	Rickettsia rickettsii Brazil
rrn	Rickettsia rickettsii Hino
rrp	Rickettsia rickettsii Hlp#2
rms	Rickettsia massiliae MTU5
rmi	Rickettsia massiliae AZT80
rpk	Rickettsia peacockii
raf	Rickettsia africae
rhe	Rickettsia heilongjiangensis
rja	Rickettsia japonica
rsv	Rickettsia slovaca 13-B
rsw	Rickettsia slovaca D-CWPP
rph	Rickettsia philipii
rau	Rickettsia australis
rmo	Rickettsia montanensis
rpp	Rickettsia parkeri
rre	Rickettsia rhipicephali
ram	Candidatus Rickettsia amblyommii
ots	Orientia tsutsugamushi Boryong
ott	Orientia tsutsugamushi Ikeda
wol	Wolbachia wMel (Drosophila melanogaster)
wri	Wolbachia wRi (Drosophila simulans)
wen	Wolbachia wHa (Drosophila simulans)
wed	Wolbachia wNo (Drosophila simulans)
wpi	Wolbachia wPip (Culex quinquefasciatus)
wbm	Wolbachia wBm (Brugia malayi)
woo	Wolbachia wOo (Onchocerca ochengi)
ama	Anaplasma marginale St. Maries
amf	Anaplasma marginale Florida
amw	Anaplasma marginale Dawn
amp	Anaplasma marginale Gypsy Plains
acn	Anaplasma centrale
aph	Anaplasma phagocytophilum HZ
apy	Anaplasma phagocytophilum HZ2
apd	Anaplasma phagocytophilum Dog2
apha	Anaplasma phagocytophilum JM
eru	Ehrlichia ruminantium Welgevonden (South Africa)
erw	Ehrlichia ruminantium Welgevonden (France)
erg	Ehrlichia ruminantium Gardel
ecn	Ehrlichia canis
ech	Ehrlichia chaffeensis Arkansas
echa	Ehrlichia chaffeensis Heartland
echj	Ehrlichia chaffeensis Jax
echl	Ehrlichia chaffeensis Liberty
echs	Ehrlichia chaffeensis Osceola
echv	Ehrlichia chaffeensis Saint Vincent
echw	Ehrlichia chaffeensis Wakulla
echp	Ehrlichia chaffeensis West Paces
emr	Ehrlichia muris
ehh	Ehrlichia sp. HF
nse	Neorickettsia sennetsu
nri	Neorickettsia risticii
nhm	Neorickettsia helminthoeca
mmn	Candidatus Midichloria mitochondrii
paca	Candidatus Paracaedibacter acanthamoebae
caq	Candidatus Caedibacter acanthamoebae
eaa	Endosymbiont of Acanthamoeba sp. UWC8
rbt	Rickettsiales bacterium Ac37b
mlo	Mesorhizobium loti
mci	Mesorhizobium ciceri
mop	Mesorhizobium opportunistum
